1227262.3___AWSD01000208
1227264.3___AWSG01000007
1261072.3___AWSX01000053
888439.3___AGWP01000011
883077.3___AGWQ01000010
537937.5___NZ_DS990239
469594.3___NZ_GL622643
469594.3___NZ_GL622654
1262874.3___HF988662
1263058.3___FR883968
1262851.3___FR896650
1203602.3___ATCH01000001
1261068.4___ATJH01000053
1261067.4___ATJI01000073
1261066.4___ATJJ01000107
999544.3___AQZE01000001
1122247.4___KB903851
1123322.3___ARCK01000050
365528.3___ARDT01000034
1157633.3___AREA01000029
1155718.3___AREE01000060
1120950.3___AREV01000093
222534.3___ARFH01000076
561175.3___ARFO01000009
1120934.3___ARFV01000032
1169182.3___ARGH01000043
1169170.3___ARGY01000043
1169166.3___ARHF01000044
1169177.3___ARHG01000047
1169173.3___ARHH01000049
1169173.3___ARHH01000047
1169193.3___ARHI01000035
1169191.3___ARHJ01000028
1169184.3___ARHK01000058
1169192.3___ARHN01000093
1169198.3___ARHP01000094
1169198.3___ARHP01000089
1169198.3___ARHP01000086
1157639.3___ARDY01000048
1123321.3___ARLC01000005
999543.3___AQZG01000026
1261062.4___ATJN01000061
1261061.4___ATJO01000003
1261058.4___ATJR01000166
569881.3___NZ_DS996943
1094755.3___AILT01000063
244592.3___NZ_EQ973124
744980.3___NZ_GL476312
744980.3___NZ_GL476316
426355.14___NC_010507
441620.7___NC_010721
1094502.3___AGWD01000013
1094502.3___AGWD01000021
1262684.3___HF999579
1262705.3___FR885441
1262705.3___FR885490
342108.9___NC_007626
349102.13___NC_009428
382640.5___NC_010161
1094497.3___CP003124
658172.5___NC_014774
1122180.3___AQOX01000016
1038866.3___ARBF01000019
1122218.3___ARFG01000014
1122181.3___ARNL01000030
1172187.3___ARTI01000068
1172187.3___ARTI01000063
1123227.4___ARJS01000041
1123227.4___ARJS01000029
1150775.4___ARLJ01000014
1150775.4___ARLJ01000013
1279038.3___ARMX01000018
1423144.3___CP006973
649747.3___AWSJ01000112
649747.3___AWSJ01000046
1201010.3___CP003603
1118959.3___CP003166
869308.3___CACH01000022
869307.4___FQ312044
869306.4___FQ312041
869304.3___FQ312043
869215.3___FQ312027
1235829.3___CP003901
293653.4___NC_007297
1439185.3___JJKN01000002
1207470.4___AP012491
1115813.3___AUOY01000100
1156994.3___AIVG01000003
1156995.3___AIVH01000003
451516.9___NC_010079
1157003.3___AIVP01000007
1157001.3___AIVN01000009
451515.3___NC_007793
1157000.3___AIVM01000004
1156999.3___AIVL01000006
1156996.3___AIVI01000001
1158683.3___AIXC01000002
869816.3___CP002114
1156995.3___AIVH01000003
451516.9___NC_010079
1157003.3___AIVP01000007
1157001.3___AIVN01000009
451515.3___NC_007793
1156994.3___AIVG01000003
1157000.3___AIVM01000004
1156999.3___AIVL01000006
1156996.3___AIVI01000001
1158683.3___AIXC01000002
869816.3___CP002114
1157000.3___AIVM01000004
1156996.3___AIVI01000001
451516.9___NC_010079
1157003.3___AIVP01000007
1157001.3___AIVN01000009
1156999.3___AIVL01000006
